,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
38324-rad,348-008,p,fc,adasyns,30,acc,1,1,1,1,1,1,0.935,0.769,0.833,0.8,0.82,0.96,
24-ang,348-004,ea,f,,30,pre,1,1,1,1,1,1,0.805,0.769,0.833,0.8,0.82,0.867,0.5
14122-ang,348-004,ea,fc,,15,acc,0.996,0.992,1,0.996,0.998,1,0.805,0.769,0.833,0.8,0.82,0.858,1
38324-ang,348-004,ea,c,,300,f2,1,1,1,1,1,1,0.779,0.707,0.853,0.773,0.819,0.867,1
38324-ang,348-004,ea,c,,300,rec,1,1,1,1,1,1,0.779,0.707,0.853,0.773,0.819,0.867,1
38324-ang,348-004,z,fc,,200,pre,1,1,1,1,1,1,0.831,0.8,0.824,0.812,0.819,0.876,1
38324-ang,348-004,ea,c,,100,pre,1,1,1,1,1,1,0.831,0.8,0.824,0.812,0.819,0.878,1
38324-ang,348-004,m,fc,,200,pre,1,1,1,1,1,1,0.831,0.8,0.824,0.812,0.819,0.914,1
38324-ang,348-004,ea,fc,,100,f2,1,1,1,1,1,1,0.831,0.8,0.824,0.812,0.819,0.874,0.5
65536-rad,348-004,ie,c,,60,f2,1,1,1,1,1,1,0.727,0.6,0.9,0.72,0.818,0.807,1
65536-rad,348-004,ie,c,,60,rec,1,1,1,1,1,1,0.727,0.6,0.9,0.72,0.818,0.806,1
65536-rad,348-004,en,f,,60,f2,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.812,0.5
65536-rad,348-004,en,f,,60,rec,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.814,0.5
65536-ang,348-004,ea,c,,60,pre,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.826,1
65536-ang,348-004,ea,,,300,acc,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.826,0.5
65536-rad,348-004,z,fc,,100,f2,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.795,0.5
65536-ang,348-004,ea,fc,,60,f2,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.827,0.5
65536-ang,348-004,ea,fc,,60,rec,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.827,0.5
65536-ang,348-004,ea,f,,30,acc,1,1,1,1,1,1,0.779,0.667,0.867,0.754,0.818,0.833,0.5
1379-rad,348-004,r,c,,100,rec,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.797,1
1379-ang,348-004,ie,f,,100,rec,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.832,0.5
98765-ang,348-004,r,fc,,30,f2,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.805,1
98765-ang,348-004,r,fc,,30,rec,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.805,1
98765-ang,348-004,ie,fc,,30,f2,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.813,1
98765-ang,348-004,ie,fc,,30,rec,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.813,1
98765-ang,348-004,ie,fc,,30,pre,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.813,1
98765-ang,348-004,ie,fc,,30,acc,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.813,1
98765-rad,348-004,en,fc,,15,f2,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.828,1
98765-rad,348-004,en,fc,,15,acc,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.828,1
98765-rad,348-004,z,fc,,15,pre,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.798,0.5
98765-rad,348-004,r,fc,,300,pre,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.833,1
98765-ang,348-004,en,f,,15,acc,1,1,1,1,1,1,0.779,0.738,0.838,0.785,0.816,0.822,0
14122-ang,348-004,p,fc,,60,pre,1,1,1,1,1,1,0.792,0.75,0.833,0.789,0.815,0.862,1
14122-rad,348-004,z,f,,300,pre,1,1,1,1,1,1,0.792,0.75,0.833,0.789,0.815,0.83,1
14122-rad,348-004,z,fc,,60,f2,1,1,1,1,1,1,0.792,0.75,0.833,0.789,0.815,0.86,0.5
14122-rad,348-004,z,fc,,60,rec,1,1,1,1,1,1,0.792,0.75,0.833,0.789,0.815,0.862,0.5
14122-ang,348-004,ea,fc,,15,f2,1,1,1,1,1,1,0.792,0.75,0.833,0.789,0.815,0.869,1
14122-ang,348-004,ea,fc,,15,rec,1,1,1,1,1,1,0.792,0.75,0.833,0.789,0.815,0.86,1
38324-rad,348-004,p,fc,,300,pre,1,1,1,1,1,1,0.766,0.69,0.853,0.763,0.815,0.854,0.5
38324-rad,348-004,p,fc,,300,acc,1,1,1,1,1,1,0.766,0.69,0.853,0.763,0.815,0.854,0.5
38324-rad,348-004,p,,,200,f2,1,1,1,1,1,1,0.766,0.69,0.853,0.763,0.815,0.795,1
65536-ang,348-008,z,fc,adasyns,60,acc,1,1,1,1,1,1,0.935,0.636,0.875,0.737,0.814,0.947,
